,AAPL,AMZN,ATT,AUD,BOND,EUR,GE,GOLD,INTC,SILVER,SPY
2000-08-28,1.03683,1.95625,31.816465,0.5724,828.1409799,0.9002,461.538452,274.15,73.875,4.915,151.765625
2000-08-29,1.05692,1.98125,31.958082,0.5698,826.6776577,0.8921,460.576935,273.45,74.0625,4.93,151.796875
2000-08-30,1.0625,2.146875,31.816465,0.5765,826.8320487,0.894,442.307678,274.2,73.5,4.91,150.34375
2000-08-31,1.08817,2.075,31.545034,0.5764,829.6129795,0.8878,450.961548,277.85,74.875,4.97,152.34375
2000-09-01,1.132813,2.075,32.430138,0.5765,831.4678535,0.8997,450.0,276.75,73.9375,4.96,152.5
2000-09-05,1.114955,2.284375,32.618958,0.5692,832.3877181,0.8903,444.711548,275.55,69.25,4.95,151.28125
2000-09-06,1.043527,2.29375,32.382931,0.5635,830.7939393,0.8702,453.846161,274.45,65.703125,4.93,149.5625
2000-09-07,1.107143,2.175,32.288521,0.5595,829.5742761,0.8713,453.846161,273.8,67.4375,4.91,150.84375
2000-09-08,1.051339,2.146875,34.035122,0.556,830.2604504,0.8672,460.576935,273.05,65.375,4.9,149.8125
2000-09-11,1.043527,2.11875,34.695995,0.561,829.3773926,0.8577,459.134613,273.43,64.6875,4.865,149.59375
2000-09-12,1.03125,2.134375,34.459969,0.5581,829.2042631,0.864,454.326935,273.0,64.9375,4.885,148.5
2000-09-13,1.035714,2.121875,34.271149,0.5538,831.0292362,0.8594,454.326935,272.75,61.25,4.87,148.890625
2000-09-14,1.015346,2.24375,33.893505,0.5502,829.1755066,0.8644,453.846161,272.55,59.625,4.88,149.640625
2000-09-15,0.986328,2.18125,33.421452,0.5443,828.3023686,0.8543,436.538452,272.45,57.515625,4.86,146.0
2000-09-18,1.083147,2.140625,33.799095,0.5416,828.1854194,0.8537,442.307678,271.8,55.8125,4.86,144.65625
2000-09-19,1.070313,2.0375,34.365559,0.5453,828.3950893,0.8509,438.461548,272.15,60.375,4.87,145.96875
2000-09-20,1.090123,1.875,33.563065,0.5389,827.1771648,0.8493,435.576935,269.35,63.0625,4.83,144.890625
2000-09-21,1.012277,2.003125,35.262463,0.5455,828.4223896,0.8599,432.692322,270.65,61.484375,4.865,142.6875
2000-09-22,0.93192,2.071875,36.20657,0.5443,829.6112809,0.8766,440.865387,272.15,47.9375,4.89,145.28125
2000-09-25,0.955357,2.01875,36.63142,0.5484,830.128331,0.8745,446.634613,274.3,45.375,4.9,144.25
